srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,new
2829088,AN,3,560011,233,233,131,A,ADLD,560093,2017-07-30,2017-07-27,2018-02-01,4467,2018-02-06,10.37148795374169
2829866,AJ,2,110018,233,233,228,A,ADLD,110034,2017-07-17,2017-01-25,2018-02-01,4388,2018-02-08,12.497096083280349
2894489,AJ,3,560011,233,233,228,C,ADLD,590014,2018-01-12,2018-01-11,2018-02-21,4460,2018-02-28,14.35383711489134
2876708,AJ,2,110018,233,233,228,B,ADLD,250110,2017-08-07,2017-05-21,2018-02-16,4388,2018-02-26,16.36162421940993
2890283,AN,22,400104,233,233,131,C,ADLD,496001,2017-11-10,2017-09-22,2018-02-20,4581,2018-02-23,15.473038316264462
2897438,C,6,160059,233,233,131,B,ADLD,160036,2017-12-12,2017-12-10,2018-02-22,4549,2018-02-27,20.62666536968181
2849010,C,2,110018,233,233,228,A,ADLD,110065,2017-09-08,2017-05-07,2018-02-07,4091,2018-03-02,22.602199445521048
2887783,U,2,110018,233,233,228,A,ADLD,110092,2018-02-02,2017-09-22,2018-02-19,4095,2018-02-26,13.89986142014695
2941799,AN,21,110015,233,233,131,B,ADLD,124001,2017-12-31,2017-06-26,2018-03-05,4580,2018-03-14,13.875278787189947
2973976,AN,22,400104,233,233,131,A,ADLD,400011,2017-05-22,2018-03-26,2018-03-13,4581,2018-03-17,11.732682422177925
2977421,J,2,110018,233,233,131,A,ADLD,110006,2017-12-31,2017-12-25,2018-03-13,4154,2018-03-19,15.374943228727808
2982990,AN,26,560066,233,233,131,A,ADLD,600097,2017-06-12,2017-06-10,2018-03-15,5001,2018-03-20,10.615296555102729
2979785,AJ,2,110018,233,233,131,A,ADLD,201301,2017-10-24,2017-10-21,2018-03-14,4388,2018-03-20,13.738511131569261
2984029,H,1,400059,233,233,131,B,ADLD,440027,2018-02-25,2018-02-13,2018-03-15,4011,2018-03-19,18.502277445789655
3012909,AD,2,110018,233,233,131,A,ADLD,201301,2017-11-18,2017-07-11,2018-03-24,4148,2018-03-29,13.072351622849482
3030307,AJ,27,110034,233,233,131,A,ADLD,110092,2017-11-16,2017-08-25,2018-03-28,4388,2018-03-31,12.717875920682337
3048314,AN,7,500004,233,233,131,A,ADLD,500011,2018-02-07,2017-04-25,2018-04-02,4403,2018-04-10,8.699992858306292
3060524,C,2,110018,233,233,228,A,ADLD,110029,2018-03-15,2018-02-08,2018-04-06,4094,2018-04-12,19.296008069112666
3064259,AN,21,110015,233,233,131,B,ADLD,124001,2017-05-05,2017-05-02,2018-04-07,4580,2018-04-17,9.259567557004567
3057867,C,2,110018,308,233,228,A,ADLD,110092,2018-03-18,2018-03-18,2018-04-05,4550,2018-04-16,17.19545912674825
2870652,AJ,3,560011,233,245,228,A,ADLD,560102,2017-07-11,2016-08-05,2018-02-14,4460,2018-02-15,10.548410250659222
2920134,AJ,3,560011,233,245,131,A,ADLD,560062,2017-03-28,2017-03-27,2018-02-27,4460,2018-03-01,11.412677537835659
2866111,AN,21,110015,233,233,131,A,ADLD,122002,2017-05-08,2017-05-05,2018-02-13,4580,2018-02-17,11.291626084857043
2908430,AJ,3,560011,233,233,131,B,ADLD,570029,2017-12-28,2017-12-28,2018-02-26,4460,2018-03-03,13.948360637779642
2920849,AN,22,400104,233,233,131,B,ADLD,462043,2017-06-08,2017-06-03,2018-02-27,4581,2018-03-03,14.835896359745725
2884266,AF,5,380009,233,245,131,A,ADLD,380008,2017-02-24,2017-02-22,2018-02-19,4039,2018-02-21,10.773363715528655
2819466,AN,4,600024,233,233,131,B,ADLD,636016,2017-05-06,2017-06-16,2018-01-30,4490,2018-02-03,11.834027820038038
2858437,AN,17,800001,233,233,131,A,ADLD,800001,2017-12-09,2017-09-23,2018-02-10,4538,2018-02-14,12.230816042906577
3050523,C,2,110018,308,233,131,A,ADLD,110027,2017-06-12,2017-05-31,2018-04-03,4550,2018-04-05,19.785049737125146
2876140,AN,22,400104,233,245,131,B,ADLD,385001,2017-09-18,2017-09-09,2018-02-16,4581,2018-02-20,14.06803610519895
2824732,AI,7,500004,233,233,131,A,ADLD,501505,2017-12-27,2017-12-27,2018-01-31,4474,2018-02-02,8.47010438341518
2839241,AF,17,800001,233,233,131,C,ADLD,824124,2017-02-20,2017-02-17,2018-02-05,4538,2018-02-08,18.167915587148354
2868409,AN,22,400104,233,233,131,A,ADLD,401101,2018-01-29,2018-01-27,2018-02-14,4581,2018-02-26,12.179380753374732
2907041,D,1,400059,233,233,131,A,ADLD,700029,2018-01-13,2017-11-14,2018-02-25,4511,2018-03-01,23.71777780216717
2844455,AN,7,500004,233,233,131,B,ADLD,517501,2016-06-15,2016-06-13,2018-02-06,4403,2018-02-14,12.518772201041319
2867312,C,1,400059,233,233,131,A,ADLD,400104,2018-01-18,2018-01-18,2018-02-13,4545,2018-02-18,19.377262271223287
2972765,AN,22,400104,0,233,131,D,ADLD,382022,2017-08-18,2017-08-17,2018-03-12,4581,2018-03-16,15.329566077495802
2983511,C,2,110018,233,233,131,A,ADLD,110037,2017-02-08,2017-02-03,2018-03-15,4550,2018-03-29,20.387671888127983
2857281,AN,3,560011,233,233,131,A,ADLD,560037,2017-03-22,2017-03-22,2018-02-09,4467,2018-02-13,10.269144652223607
3051964,AJ,23,400001,233,233,131,A,ADLD,400052,2018-03-27,2018-03-18,2018-04-03,4398,2018-04-07,12.041692012519503
2981162,AN,21,110015,233,233,131,A,ADLD,121004,2017-05-05,2017-05-03,2018-03-14,4580,2018-03-21,10.927263090323072
3014945,AN,26,560066,201,233,131,D,ADLD,630606,2017-12-28,2017-08-01,2018-03-24,5001,2018-03-27,13.205788557996364
2999197,AJ,27,110034,233,233,131,A,ADLD,110095,2017-06-19,2017-06-16,2018-03-19,4388,2018-04-01,12.294291617204395
2829017,AJ,7,500004,233,233,131,A,ADLD,500019,2017-04-25,2017-03-28,2018-02-01,4474,2018-02-08,10.239755209920114
2848996,AI,3,560011,233,233,131,A,ADLD,560026,2017-12-15,2017-12-15,2018-02-07,4460,2018-02-12,9.72751842231313
2870108,AN,22,400104,233,233,131,B,ADLD,395006,2017-03-14,2017-03-09,2018-02-14,4581,2018-02-16,14.06803610519895
2859591,AJ,2,110018,233,233,131,A,ADLD,122017,2017-12-22,2017-07-13,2018-02-10,4388,2018-02-15,12.726634326211787
2861847,AJ,3,560011,233,233,228,A,ADLD,560093,2018-01-19,2017-07-09,2018-02-12,4460,2018-02-20,10.548410250659222
2880678,AJ,2,110018,233,233,228,A,ADLD,122017,2018-01-12,2017-02-23,2018-02-17,4388,2018-02-21,12.726634326211787
2872297,AN,22,400104,233,233,131,C,ADLD,442605,2017-06-08,2017-06-07,2018-02-15,4581,2018-02-18,14.763278848841544
2930663,AN,21,110015,233,233,131,C,ADLD,141115,2017-06-28,2017-04-14,2018-03-02,4580,2018-03-06,14.255118451949832
2936017,AJ,23,400001,233,233,131,A,ADLD,411023,2017-04-13,2017-04-13,2018-03-03,4398,2018-03-09,13.624793093106932
2940545,S,3,560011,233,233,228,A,ADLD,560049,2018-01-16,2017-03-29,2018-03-05,4465,2018-03-07,14.58282696535863
2887249,AE,9,411016,233,233,228,B,ADLD,414001,2017-08-22,2017-08-03,2018-02-19,4023,2018-03-07,15.448563383994369
2978501,AM,2,110018,308,233,228,A,ADLD,122003,2018-02-25,2017-04-08,2018-03-14,4092,2018-03-15,13.777394804941965
3013507,Y,5,380009,201,233,131,D,ADLD,382750,2018-03-07,2018-02-07,2018-03-24,4039,2018-03-31,13.15357048480617
3035976,AJ,6,160059,233,233,228,B,ADLD,160047,2017-07-01,2017-06-14,2018-03-29,4437,2018-03-31,13.572188211844978
3057218,AN,26,560066,233,233,131,B,ADLD,603002,2017-06-19,2017-06-16,2018-04-05,5001,2018-04-07,11.603980018300419
3086262,AJ,23,400001,233,233,228,A,ADLD,400093,2017-11-24,2017-01-18,2018-04-15,4398,2018-04-16,10.269439656925762
3078906,AN,22,400104,233,233,131,A,ADLD,401208,2017-07-13,2017-07-10,2018-04-12,4581,2018-04-19,8.378348579389929
2822707,AN,21,110015,233,245,131,A,ADLD,110007,2017-10-23,2017-10-18,2018-01-31,4580,2018-02-09,11.062087841925605
2874119,AJ,3,560011,233,245,228,B,ADLD,590010,2018-01-13,2017-03-31,2018-02-15,4460,2018-02-21,13.084093350603204
2879096,AN,11,641012,201,201,131,D,ADLD,691005,2017-11-30,2017-11-24,2018-02-16,4495,2018-02-20,15.961114213755076
3041893,AE,2,110018,233,233,228,C,ADLD,335001,2017-05-04,2016-11-20,2018-03-31,4093,2018-04-04,15.860061987309741
3085048,AN,26,560066,233,233,228,A,ADLD,560098,2017-06-09,2016-10-05,2018-04-14,5001,2018-04-16,8.378915210930208
2833586,AN,21,110015,201,233,131,0,ADLD,331802,2017-04-06,2017-04-03,2018-02-03,4580,2018-02-21,19.36534166343308
3029632,AJ,27,110034,233,233,131,B,ADLD,136027,2017-11-07,2017-09-19,2018-03-28,4388,2018-04-07,13.526050486646522
2953931,AN,8,700064,233,233,131,A,ADLD,700006,2017-12-14,2017-10-17,2018-03-08,4508,2018-03-10,13.18890549594022
2946014,AN,4,600024,233,233,131,A,ADLD,600069,2017-10-25,2017-10-14,2018-03-06,4490,2018-03-08,10.89383344251394
3011371,AJ,23,400001,308,233,131,A,ADLD,400070,2017-03-29,2017-03-28,2018-03-23,4398,2018-04-11,11.812150381125434
3084072,AN,21,110015,233,233,131,A,ADLD,110068,2017-04-17,2017-04-14,2018-04-14,4580,2018-04-17,8.070069133217569
2896365,AN,8,700064,233,233,228,A,ADLD,700046,2018-01-15,2017-08-12,2018-02-22,4508,2018-02-23,12.846146478378346
3021704,C,12,302006,233,233,131,B,ADLD,342001,2017-11-23,2017-11-17,2018-03-26,4453,2018-03-29,16.68561785849526
2904158,AN,7,500004,233,233,131,A,ADLD,500008,2017-10-06,2017-09-30,2018-02-24,4403,2018-02-27,10.393784962426448
3035437,C,2,110018,233,233,228,B,EW,125001,2017-01-27,2017-01-12,2018-03-29,4091,2018-04-07,18.767628908873565
2870227,AN,2,110018,233,233,131,A,ADLD,110085,2017-11-26,2017-11-24,2018-02-14,4147,2018-02-21,11.607973567117227
3013338,AJ,27,110034,308,233,228,A,ADLD,122001,2017-06-04,2017-06-04,2018-03-24,4388,2018-03-27,13.049757465131858
2848947,AN,21,110015,233,233,131,B,ADLD,131001,2017-05-13,2017-05-05,2018-02-07,4580,2018-02-12,13.00174329165263
2846763,AJ,2,110018,233,233,228,A,ADLD,121006,2017-08-25,2017-08-19,2018-02-06,4388,2018-02-14,12.726634326211787
2883269,AN,2,110018,233,233,228,A,ADLD,110096,2018-01-02,2017-09-26,2018-02-18,4147,2018-02-23,12.391083385014584
2843740,C,12,302006,233,233,228,B,ADLD,334001,2017-10-16,2017-07-13,2018-02-06,4453,2018-02-19,18.478428591251696
2904312,AA,12,302006,233,233,228,A,ADLD,302026,2018-02-08,2017-02-01,2018-02-24,4459,2018-02-26,13.66117926868667
2924654,Y,4,600024,233,233,131,A,ADLD,600078,2017-12-17,2017-12-07,2018-02-28,4490,2018-03-09,12.32096378726067
2938914,AJ,2,110018,233,233,228,A,ADLD,201001,2018-02-12,2017-08-08,2018-03-04,4388,2018-03-11,13.982383665418363
2822482,AF,1,400059,233,233,131,A,ADLD,400705,2017-02-18,2017-02-15,2018-01-31,4581,2018-03-06,14.074448599821482
2943376,AN,22,400104,233,233,131,A,ADLD,400607,2016-05-19,2016-05-18,2018-03-05,4581,2018-03-09,12.618207284850387
2979916,AN,21,110015,233,233,131,C,ADLD,143105,2018-02-01,2018-02-01,2018-03-14,4580,2018-03-19,13.262303082439006
3041172,AN,21,110015,308,233,131,A,ADLD,110051,2017-10-02,2017-10-02,2018-03-31,4580,2018-04-04,9.727622972266182
3049892,AJ,27,110034,233,233,131,A,ADLD,110060,2017-06-16,2017-06-15,2018-04-03,4388,2018-04-05,12.192868519689235
3034718,AJ,25,560037,233,233,131,A,ADLD,600030,2018-01-17,2017-01-16,2018-03-29,4460,2018-04-01,11.301827143219056
